permno,SICCD,NCUSIP,TICKER,COMNAM
10407,,,,
10408,,,,
10409,,,,
10410,,,,
10411,,,,
10412,,,,
10413,,,,
10414,,,,
10415,,,,
10416,,,,
10417,,,,
10418,,,,
10419,,,,
10420,3070,75061010,RDVA,RADVA CORP
10421,4520,83087910,SKYW,SKYWEST INC
10422,,,,
10423,,,,
10424,3710,18679810,CLEV,CLEVITE INDUSTRIES INC
10425,,,,
10426,,,,
10427,,,,
10429,7372,00190310,ASKI,A S K COMPUTER SYSTEMS INC
10430,,,,
10431,,,,
10432,,,,
10433,,,,
10434,,,,
10435,,,,
10436,3350,,,AMERICAN ZINC LEAD & SMLT CO
10437,,,,
10438,,,,
10439,,,,
10440,,,,
10441,,,,
10442,4210,48249810,KLLM,K L L M TRANSPORT SVCS INC
10443,,,,
10444,110,,,AMERICAN SUMATRA TOB CO
10445,3823,00204810,ARII,A R I INDUSTRIES INC
10446,,,,
10447,,,,
10448,,,,
10449,,,,
10450,,,,
10451,,,,
10453,,,,
10454,,,,
10455,,,,
10456,,,,
10457,,,,
10458,6020,83506210,SOSA,SOMERSET SVGS BK SOMERVILLE MA
10459,,,,
10460,3810,,,AMERICAN MACH & METALS INC
10461,,,,
10462,,,,
10463,,,,
10464,6020,20755210,CCBK,CONNECTICUT COMMUNITY BANK G
10465,,,,
10466,,,,
10467,6030,93524110,WFCS,WARREN FIVE CENTS SAVINGS BK MA
10468,,,,
10469,,,,
10470,,,,
10471,,,,
10472,,,,
10473,,,,
10474,,,,
10475,,,,
10476,,,,
10477,,,,
10478,,,,
10479,2060,,,AMERICAN SUGAR REFNG CO
10480,,,,
10481,,,,
10482,,,,
10483,,,,
10484,,,,
10485,,,,
10486,,,,
10487,3310,,,AMERICAN STEEL FOUNDRIES
10488,3494,00240810,AVMC,AVM CORP
10489,,,,
10490,,,,
10491,,,,
10492,,,,
10493,,,,
10494,,,,
10495,3350,,,ANACONDA CO
10496,7372,00244810,AWCSA,A W COMPUTER SYSTEMS INC
10497,,,,
10498,,,,
10499,,,,
10500,,,,
10501,,,,
10502,,,,
10503,,,,
10504,,,,
10505,,,,
10506,,,,
10507,,,,
10509,2499,00253010,AARN,AARON BROS CORP
10510,,,,
10511,,,,
10512,,,,
10513,,,,
10514,,,,
10515,,,,
10516,2030,,,ARCHER DANIELS MIDLAND CO
10517,,,,
10518,,,,
10519,7810,45291110,IFEI,IMAGINE FILMS ENTERTAINMENT INC
10520,,,,
10521,,,,
10522,,,,
10523,,,,
10524,2010,,,ARMOUR & CO
10525,5651,00253610,ARON,AARONSON BROTHERS STORES CO
10526,,,,
10527,,,,
10528,4810,15090910,COMM,CELLULAR COMMUNICATIONS INC
10529,,,,
10530,2830,58960210,KITS,MERIDIAN DIAGNOSTICS INC
10531,,,,
10532,5310,,,ARNOLD CONSTABLE CORP
10533,5941,00289610,,ABERCROMBIE & FITCH CO
10534,,,,
10535,,,,
10536,,,,
10537,,,,
10538,,,,
10539,,,,
10541,Z,02933910,ARUB,AMERICAN RUBBER & PLASTICS CORP
10542,,,,
10543,,,,
10544,,,,
10545,,,,
10546,,,,
10547,,,,
10548,,,,
